NAC_ID,VOLUME_ID,URL,PRODUCT_ID,PRODUCT_VERSION_ID,ORBIT_NUMBER,SLEW_ANGLE,MISSION_PHASE_NAME,DATA_QUALITY_ID,START_TIME,STOP_TIME,IMAGE_LINES,LINE_SAMPLES,SAMPLE_BITS,SCALED_PIXEL_WIDTH,SCALED_PIXEL_HEIGHT,RESOLUTION,EMMISSION_ANGLE,INCIDENCE_ANGLE,PHASE_ANGLE,NORTH_AZIMUTH,SUB_SOLAR_AZIMUTH,SUB_SOLAR_LATITUDE,SUB_SOLAR_LONGITUDE,SUB_SPACECRAFT_LATITUDE,SUB_SPACECRAFT_LONGITUDE,SOLAR_DISTANCE,SOLAR_LONGITUDE,CENTER_LATITUDE,CENTER_LONGITUDE,UPPER_RIGHT_LATITUDE,UPPER_RIGHT_LONGITUDE,LOWER_RIGHT_LATITUDE,LOWER_RIGHT_LONGITUDE,LOWER_LEFT_LATITUDE,LOWER_LEFT_LONGITUDE,UPPER_LEFT_LATITUDE,UPPER_LEFT_LONGITUDE,SPACECRAFT_ALTITUDE,TARGET_CENTER_DISTANCE,ORBIT_NODE,LRO_FLIGHT_DIRECTION
31,"""LROLRC_1012""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1012/DATA/SCI/2012212/NAC/M1098309025LC.IMG""","""M1098309025LC""","""v1.9""",14211,   0.005,"""SCIENCE MISSION""",0,"""2012-07-30 17:35:57.654""","""2012-07-30 17:36:24.317""",52224,5064,16,  1.10,  0.78,0.94,1.75,48.39,50.13,86.29,178.34, -1.41, 34.10, -1.80, 82.61,152167564.7,241.84, -1.80, 82.51, -1.13, 82.57, -2.47, 82.62, -2.48, 82.44, -1.13, 82.39, 109.98,1847.24,D,-X
32,"""LROLRC_1014""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1014/DATA/ESM/2013024/NAC/M1113630818RC.IMG""","""M1113630818RC""","""v1.9""",16358,  -0.006,"""EXTENDED SCIENCE MISSION""",0,"""2013-01-24 01:39:10.928""","""2013-01-24 01:39:37.592""",52224,5064,16,  1.01,  0.78,0.899,1.17,48.9,47.73,93.44,178.79,  1.49, 33.71, -1.72, 82.44,147591313.6, 67.68, -1.72, 82.51, -2.40, 82.57, -1.05, 82.62, -1.04, 82.45, -2.40, 82.40, 101.57,1838.84,D,+X
33,"""LROLRC_1019""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1019/DATA/ESM/2014094/NAC/M1151282572RC.IMG""","""M1151282572RC""","""v1.9""",21655,   0.008,"""EXTENDED SCIENCE MISSION""",0,"""2014-04-04 20:28:25.743""","""2014-04-04 20:29:12.998""",52224,5064,16,  1.41,  1.33,1.37,1.2,41.46,40.52,272.48,146.6,  0.37,122.35, 28.36, 90.46,149453349.5,165.14, 28.36, 90.36, 27.22, 90.16, 29.52, 90.29, 29.51, 90.57, 27.20, 90.42, 141.24,1878.71,A,-X
34,"""LROLRC_1021""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1021/DATA/ESM2/2014271/NAC/M1166565879LC.IMG""","""M1166565879LC""","""v1.9""",23802,  -0.025,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2014-09-28 17:50:12.149""","""2014-09-28 17:50:58.508""",52224,5064,16,  1.30,  1.32,1.313,1.78,42.08,43.39,267.8,137.91, -0.41,122.17, 28.76, 90.33,149655964.2,342.73, 28.77, 90.47, 29.91, 90.27, 27.62, 90.42, 27.64, 90.67, 29.92, 90.52, 130.26,1867.73,A,+X
35,"""LROLRC_1013""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1013/DATA/ESM/2012266/NAC/M1102916063RC.IMG""","""M1102916063RC""","""v1.9""",14856,  -0.014,"""EXTENDED SCIENCE MISSION""",0,"""2012-09-22 01:19:56.084""","""2012-09-22 01:20:22.747""",52224,5064,16,  1.60,  0.74,1.166,1.2,46.4,46.39,266.25,96.08, -1.31,102.98, 44.75, 96.75,150086337.1,294.65, 44.74, 96.61, 45.37, 96.37, 44.09, 96.47, 44.11, 96.83, 45.38, 96.74, 159.94,1897.35,A,+X
36,"""LROLRC_1020""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1020/DATA/ESM/2014243/NAC/M1164161884LC.IMG""","""M1164161884LC""","""v1.9""",23464,  -0.006,"""EXTENDED SCIENCE MISSION""",0,"""2014-08-31 22:03:36.859""","""2014-08-31 22:04:13.37""",52224,5064,16,  1.45,  1.03,1.238,1.78,46.08,46.18,266.86,92.16, -1.07,101.67, 44.79, 96.58,150870463.0,311.56, 44.80, 96.77, 45.68, 96.52, 43.91, 96.70, 43.92, 97.03, 45.69, 96.86, 144.67,1882.07,A,+X
37,"""LROLRC_1017""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1017/DATA/ESM/2013263/NAC/M1134351707RC.IMG""","""M1134351707RC""","""v1.9""",19274,  -0.014,"""EXTENDED SCIENCE MISSION""",0,"""2013-09-20 21:27:20.977""","""2013-09-20 21:28:07.138""",49152,5064,16,  1.37,  1.38,1.377,1.2,34.24,33.93,267.17,110.54, -1.00,347.71, 31.18,335.46,150565027.2,322.92, 31.17,335.36, 32.30,335.17, 30.04,335.27, 30.05,335.53, 32.30,335.45, 137.49,1874.92,A,+X
38,"""LROLRC_1024""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1024/DATA/ESM2/2015242/NAC/M1195571901RC.IMG""","""M1195571901RC""","""v1.9""",27900,  -0.010,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-08-30 11:03:54.068""","""2015-08-30 11:04:28.929""",43008,5064,16,  1.18,  1.22,1.199,1.18,34.71,34.34,266.34,113.68, -0.66,350.02, 31.16,335.48,151402240.1,337.04, 31.15,335.39, 32.01,335.22, 30.28,335.32, 30.29,335.55, 32.02,335.45, 118.28,1855.72,A,+X
39,"""LROLRC_1014""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1014/DATA/ESM/2013059/NAC/M1116685896LC.IMG""","""M1116685896LC""","""v1.9""",16789,  -0.010,"""EXTENDED SCIENCE MISSION""",0,"""2013-02-28 10:17:08.663""","""2013-02-28 10:17:35.326""",52224,5064,16,  1.37,  0.76,1.063,1.78,34.86,35.55,90.82,249.52,  1.46,323.72, 34.21,336.66,148522600.8,113.13, 34.21,336.51, 33.56,336.62, 34.86,336.66, 34.87,336.39, 33.56,336.35, 136.61,1873.98,A,+X
40,"""LROLRC_1024""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1024/DATA/ESM2/2015215/NAC/M1193210470LC.IMG""","""M1193210470LC""","""v1.9""",27564,   0.009,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-08-03 03:06:42.898""","""2015-08-03 03:07:26.124""",52224,5064,16,  1.21,  1.24,1.228,1.76,37.02,37.76,86.35,246.92, -1.22,323.92, 33.92,336.47,152094597.3,311.77, 33.91,336.34, 34.99,336.39, 32.85,336.52, 32.84,336.28, 34.98,336.15, 121.27,1858.64,A,-X
41,"""LROLRC_1024""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1024/DATA/ESM2/2015215/NAC/M1193210470RC.IMG""","""M1193210470RC""","""v1.9""",27564,   0.009,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-08-03 03:06:42.898""","""2015-08-03 03:07:26.124""",52224,5064,16,  1.21,  1.24,1.226,1.18,37.1,36.55,87.67,245.43, -1.22,323.92, 33.92,336.47,152094597.3,311.77, 33.93,336.57, 35.01,336.63, 32.86,336.75, 32.85,336.51, 34.99,336.39, 121.27,1858.64,A,-X
42,"""LROLRC_1016""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1016/DATA/ESM/2013184/NAC/M1127512922LC.IMG""","""M1127512922LC""","""v1.9""",18312,   0.003,"""EXTENDED SCIENCE MISSION""",0,"""2013-07-03 17:47:34.713""","""2013-07-03 17:48:00.481""",52224,5064,16,  0.73,  0.78,0.756,1.71,68.91,70.6,85.41,170.93, -1.33,234.56,-20.44,302.58,151836004.4,244.86,-20.44,302.51,-19.77,302.55,-21.12,302.60,-21.12,302.47,-19.77,302.42,  72.86,1810.12,D,-X
43,"""LROLRC_1020""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1020/DATA/ESM/2014174/NAC/M1158134288LC.IMG""","""M1158134288LC""","""v1.9""",22617,  -0.029,"""EXTENDED SCIENCE MISSION""",0,"""2014-06-23 03:43:40.618""","""2014-06-23 03:44:07.281""",52224,5064,16,  0.75,  0.81,0.781,1.72,69.11,70.8,84.92,170.69, -1.42,234.33,-20.35,302.61,151785477.2,254.08,-20.35,302.53,-19.65,302.56,-21.05,302.63,-21.05,302.50,-19.66,302.43,  75.21,1812.46,D,-X
44,"""LROLRC_1012""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1012/DATA/SCI/2012213/NAC/M1098344153RC.IMG""","""M1098344153RC""","""v1.9""",14216,  -0.003,"""SCIENCE MISSION""",0,"""2012-07-31 03:21:26.193""","""2012-07-31 03:22:17.477""",52224,5064,16,  1.44,  1.44,1.442,1.2,53.68,52.54,88.24,202.1, -1.41, 29.14, 27.60, 76.08,152177410.1,242.66, 27.61, 76.18, 28.86, 76.27, 26.37, 76.37, 26.36, 76.10, 28.85, 75.99, 144.42,1881.70,A,-X
45,"""LROLRC_1026""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1026/DATA/ESM2/2015357/NAC/M1205527577LC.IMG""","""M1205527577LC""","""v1.9""",29316,  -0.008,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-12-23 16:31:50.124""","""2015-12-23 16:32:31.559""",52224,5064,16,  1.19,  1.19,1.191,1.76,54.18,55.79,93.09,204.66,  1.53, 26.37, 27.85, 76.10,147484635.9, 94.05, 27.86, 75.98, 26.82, 76.01, 28.88, 76.17, 28.89, 75.94, 26.84, 75.79, 118.73,1856.01,A,+X
46,"""LROLRC_1014""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1014/DATA/ESM/2013051/NAC/M1116032281LC.IMG""","""M1116032281LC""","""v1.9""",16697,  -0.012,"""EXTENDED SCIENCE MISSION""",0,"""2013-02-20 20:43:34.209""","""2013-02-20 20:44:00.872""",52224,5064,16,  1.35,  0.76,1.054,1.77,33.71,34.83,91.78,232.77,  1.54, 55.59, 28.55, 76.87,148161542.1, 97.33, 28.55, 76.72, 27.89, 76.82, 29.20, 76.88, 29.21, 76.62, 27.90, 76.56, 134.99,1872.33,A,+X
47,"""LROLRC_1026""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1026/DATA/ESM2/2016019/NAC/M1207876500LC.IMG""","""M1207876500LC""","""v1.9""",29650,  -0.009,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2016-01-19 21:00:33.379""","""2016-01-19 21:01:08.1""",52224,5064,16,  1.20,  0.99,1.097,1.76,33.79,34.85,93.15,234.57,  1.26, 55.80, 28.45, 76.91,147418513.5,123.27, 28.46, 76.78, 27.59, 76.83, 29.31, 76.96, 29.33, 76.73, 27.61, 76.60, 119.95,1857.29,A,+X
48,"""LROLRC_1015""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1015/DATA/ESM/2013105/NAC/M1120656220RC.IMG""","""M1120656220RC""","""v1.9""",17348,   0.013,"""EXTENDED SCIENCE MISSION""",0,"""2013-04-15 09:09:12.64""","""2013-04-15 09:09:39.303""",52224,5064,16,  1.36,  0.75,1.057,1.2,42.66,41.73,271.96,146.67,  0.60,123.60, 29.32, 90.58,149873494.1,155.29, 29.32, 90.48, 28.67, 90.32, 29.98, 90.38, 29.97, 90.64, 28.66, 90.57, 136.14,1873.62,A,-X
49,"""LROLRC_1018""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1018/DATA/ESM/2014052/NAC/M1147636825RC.IMG""","""M1147636825RC""","""v1.9""",21142,  -0.005,"""EXTENDED SCIENCE MISSION""",0,"""2014-02-21 15:45:57.908""","""2014-02-21 15:46:18.304""",52224,5064,16,  0.58,  0.63,0.607,1.14,49.14,48.98,96.8,102.63,  1.31,276.57,-47.53,282.75,148048080.3,125.42,-47.53,282.80,-48.07,282.82,-46.99,282.93,-46.98,282.79,-48.07,282.67,  58.59,1795.98,D,+X
50,"""LROLRC_1022""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1022/DATA/ESM2/2015041/NAC/M1178245284RC.IMG""","""M1178245284RC""","""v1.9""",25445,  -0.008,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-02-10 22:06:57.093""","""2015-02-10 22:07:12.012""",35840,5064,16,  0.65,  0.67,0.66,1.15,49.02,48.88,97.39,101.96,  1.20,277.56,-47.60,282.78,147726448.5,132.52,-47.60,282.85,-48.00,282.88,-47.21,282.97,-47.20,282.81,-47.99,282.72,  65.55,1802.94,D,+X
51,"""LROLRC_1015""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1015/DATA/ESM/2013078/NAC/M1118298237LC.IMG""","""M1118298237LC""","""v1.9""",17016,   0.009,"""EXTENDED SCIENCE MISSION""",0,"""2013-03-19 02:09:30.352""","""2013-03-19 02:09:57.015""",52224,5064,16,  1.37,  0.75,1.059,1.78,27.24,27.74,274.12,104.44,  1.22, 96.26, 27.98, 90.73,148890047.6,125.00, 27.97, 90.88, 27.33, 90.72, 28.63, 90.79, 28.62, 91.05, 27.31, 90.97, 136.61,1874.02,A,-X
52,"""LROLRC_1016""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1016/DATA/ESM/2013255/NAC/M1133591249RC.IMG""","""M1133591249RC""","""v1.9""",19167,  -0.090,"""EXTENDED SCIENCE MISSION""",0,"""2013-09-12 02:13:02.163""","""2013-09-12 02:13:28.826""",52224,5064,16,  1.35,  0.77,1.059,1.26,29.49,29.55,266.1,95.4, -1.19, 94.91, 28.06, 90.97,150512297.0,303.71, 28.04, 90.87, 28.70, 90.71, 27.38, 90.78, 27.40, 91.03, 28.71, 90.97, 135.48,1872.89,A,+X
53,"""LROLRC_1013""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1013/DATA/ESM/2012275/NAC/M1103716388RC.IMG""","""M1103716388RC""","""v1.9""",14968,   0.547,"""EXTENDED SCIENCE MISSION""",0,"""2012-10-01 07:38:40.658""","""2012-10-01 07:39:07.321""",52224,5064,16,  1.47,  0.73,1.1,1.03,35.4,34.63,267.73,113.32, -1.19,350.19, 31.56,336.18,150139279.6,313.83, 31.59,336.10, 32.19,335.91, 30.90,335.95, 30.91,336.23, 32.20,336.20, 146.89,1884.32,A,+X
54,"""LROLRC_1019""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1019/DATA/ESM/2014076/NAC/M1149673894LC.IMG""","""M1149673894LC""","""v1.9""",21429,   0.009,"""EXTENDED SCIENCE MISSION""",0,"""2014-03-17 05:37:06.736""","""2014-03-17 05:37:56.331""",52224,5064,16,  1.40,  1.38,1.386,1.78,32.91,33.76,273.49,117.2,  0.89,349.39, 31.28,335.87,149232508.2,147.85, 31.28,336.02, 30.09,335.84, 32.47,335.94, 32.46,336.21, 30.08,336.10, 139.55,1876.99,A,-X
55,"""LROLRC_1019""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1019/DATA/ESM/2014076/NAC/M1149666783RC.IMG""","""M1149666783RC""","""v1.9""",21428,   0.007,"""EXTENDED SCIENCE MISSION""",0,"""2014-03-17 03:38:35.873""","""2014-03-17 03:39:25.924""",52224,5064,16,  1.40,  1.39,1.391,1.2,33.25,32.8,271.34,117.58,  0.90,350.39, 31.59,336.97,149229984.7,147.74, 31.59,336.86, 30.40,336.68, 32.79,336.77, 32.78,337.05, 30.39,336.95, 139.88,1877.31,A,-X
56,"""LROLRC_1030""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1030/DATA/ESM3/2017042/NAC/M1241473350RC.IMG""","""M1241473350RC""","""v1.9""",34427,   0.057,"""THIRD EXTENDED SCIENCE MISSION""",0,"""2017-02-11 17:28:03.19""","""2017-02-11 17:28:45.968""",52224,5064,16,  1.20,  1.23,1.214,1.19,36.04,35.45,272.55,127.87,  0.25,356.21, 31.28,336.92,148039345.4,171.51, 31.27,336.83, 30.21,336.64, 32.34,336.78, 32.33,337.01, 30.20,336.87, 119.81,1857.27,A,-X
57,"""LROLRC_1013""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1013/DATA/ESM/2012277/NAC/M1103887949RC.IMG""","""M1103887949RC""","""v1.9""",14992,  -0.013,"""EXTENDED SCIENCE MISSION""",0,"""2012-10-03 07:18:01.655""","""2012-10-03 07:18:28.318""",52224,5064,16,  1.35,  0.75,1.05,1.2,30.0,29.47,267.32,121.53, -1.15,326.03, 24.60,310.25,149996022.4,316.41, 24.59,310.15, 25.24,310.01, 23.93,310.05, 23.94,310.29, 25.25,310.26, 134.86,1872.30,A,+X
58,"""LROLRC_1028""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1028/DATA/ESM2/2016233/NAC/M1226333995RC.IMG""","""M1226333995RC""","""v1.9""",32274,   0.024,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2016-08-20 12:05:27.744""","""2016-08-20 12:05:47.487""",29696,5064,16,  0.97,  1.03,0.996,1.15,32.07,31.46,265.67,125.8, -0.42,329.82, 25.48,310.30,151673903.5,345.63, 25.47,310.24, 25.97,310.11, 24.97,310.18, 24.98,310.36, 25.98,310.29,  96.75,1834.21,A,+X
59,"""LROLRC_1010""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1010/DATA/SCI/2012069/NAC/M185934518LC.IMG""","""M185934518LC""","""v1.9""",12480,  -0.011,"""SCIENCE MISSION""",0,"""2012-03-09 12:14:11.301""","""2012-03-09 12:14:37.964""",52224,5064,16,  1.46,  0.75,1.103,1.78,30.83,31.45,90.28,251.85,  1.51,342.74, 30.83,352.96,148898822.0,102.36, 30.83,352.80, 30.18,352.92, 31.47,352.95, 31.48,352.66, 30.18,352.65, 145.46,1882.83,A,+X
60,"""LROLRC_1018""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1018/DATA/ESM/2014047/NAC/M1147204435LC.IMG""","""M1147204435LC""","""v1.9""",21082,  -0.009,"""EXTENDED SCIENCE MISSION""",0,"""2014-02-16 15:39:28.186""","""2014-02-16 15:39:55.311""",29696,5064,16,  1.36,  1.35,1.357,1.78,32.93,33.78,91.45,243.32,  1.42,337.37, 30.85,353.11,148177687.0,118.67, 30.86,352.95, 30.19,353.06, 31.52,353.11, 31.53,352.85, 30.20,352.80, 136.10,1873.46,A,+X
61,"""LROLRC_1008""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1008/DATA/SCI/2011249/NAC/M169908179RC.IMG""","""M169908179RC""","""v1.9""",10173,   0.009,"""SCIENCE MISSION""",0,"""2011-09-06 00:28:32.231""","""2011-09-06 00:28:47.548""",41984,5064,16,  0.55,  0.58,0.564,1.14,47.94,47.52,90.4,116.55, -1.52, 80.47,-45.87,101.18,150925359.1,258.62,-45.87,101.23,-45.46,101.27,-46.27,101.32,-46.28,101.19,-45.47,101.14,  54.62,1791.97,D,-X
62,"""LROLRC_1032""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1032/DATA/ESM3/2017183/NAC/M1253609406LC.IMG""","""M1253609406LC""","""v1.9""",36152,   0.009,"""THIRD EXTENDED SCIENCE MISSION""",0,"""2017-07-02 04:35:39.440""","""2017-07-02 04:36:04.760""",52224,5064,16,  0.72,  0.77,0.746,1.71,47.87,48.47,80.25,109.39, -1.12, 82.58,-46.07,101.42,152182787.8,312.10,-46.08,101.33,-45.41,101.32,-46.73,101.51,-46.75,101.33,-45.43,101.15,  72.23,1809.59,D,-X
63,"""LROLRC_1005""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1005/DATA/SCI/2010313/NAC/M143962466LC.IMG""","""M143962466LC""","""v1.9""",6349,  -0.009,"""SCIENCE MISSION""",0,"""2010-11-09 17:19:58.55""","""2010-11-09 17:20:20.289""",52224,5064,16,  0.63,  0.66,0.641,1.7,59.25,60.55,273.21,221.5, -1.12,141.46,-49.98,101.90,147903587.9,307.99,-49.98,101.99,-49.41,101.89,-50.55,101.94,-50.54,102.10,-49.41,102.05,  62.50,1799.97,D,+X
64,"""LROLRC_1019""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1019/DATA/ESM/2014093/NAC/M1151174196RC.IMG""","""M1151174196RC""","""v1.9""",21639,   0.009,"""EXTENDED SCIENCE MISSION""",0,"""2014-04-03 14:22:09.151""","""2014-04-03 14:22:19.369""",25600,5064,16,  0.59,  0.64,0.618,1.15,59.06,58.29,271.2,231.09,  0.40,137.67,-50.26,102.08,149322375.1,163.68,-50.26,102.02,-50.53,101.91,-49.98,101.98,-49.99,102.13,-50.54,102.07,  59.41,1796.87,D,-X
65,"""LROLRC_1016""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1016/DATA/ESM/2013226/NAC/M1131160221RC.IMG""","""M1131160221RC""","""v1.9""",18825,   0.037,"""EXTENDED SCIENCE MISSION""",0,"""2013-08-14 22:55:53.912""","""2013-08-14 22:56:20.575""",52224,5064,16,  1.32,  0.75,1.036,1.22,34.82,33.87,87.95,220.63, -1.50, 78.45, 24.01,102.74,151557540.1,273.46, 24.02,102.84, 24.68,102.93, 23.37,102.99, 23.36,102.75, 24.67,102.69, 132.00,1869.33,A,-X
66,"""LROLRC_1020""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1020/DATA/ESM/2014216/NAC/M1161778263RC.IMG""","""M1161778263RC""","""v1.9""",23129,   0.008,"""EXTENDED SCIENCE MISSION""",0,"""2014-08-04 07:56:36.938""","""2014-08-04 07:57:02.145""",28672,5064,16,  1.29,  1.31,1.301,1.19,34.68,33.73,87.46,220.51, -1.46, 78.63, 24.07,102.69,151801050.8,282.18, 24.08,102.78, 24.71,102.87, 23.46,102.93, 23.45,102.70, 24.69,102.63, 129.09,1866.42,A,-X
67,"""LROLRC_1009""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1009/DATA/SCI/2011303/NAC/M174598380RC.IMG""","""M174598380RC""","""v1.9""",10864,  -0.009,"""SCIENCE MISSION""",0,"""2011-10-30 07:18:33.398""","""2011-10-30 07:18:55.137""",52224,5064,16,  0.61,  0.66,0.637,1.15,46.42,45.46,265.76,216.65, -0.96,138.66,-34.62,104.43,148328180.7,316.21,-34.63,104.38,-34.06,104.30,-35.20,104.34,-35.19,104.46,-34.06,104.42,  61.59,1799.07,D,+X
68,"""LROLRC_1023""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1023/DATA/ESM2/2015082/NAC/M1181776871LC.IMG""","""M1181776871LC""","""v1.9""",25942,   0.009,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-03-23 19:06:43.971""","""2015-03-23 19:06:59.101""",28672,5064,16,  0.77,  0.83,0.802,1.72,47.99,49.26,277.35,223.67,  0.19,139.70,-34.72,104.36,148855686.7,172.05,-34.73,104.45,-35.12,104.34,-34.33,104.41,-34.34,104.56,-35.12,104.50,  76.92,1814.39,D,-X
69,"""LROLRC_1012""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1012/DATA/SCI/2012211/NAC/M1098166381RC.IMG""","""M1098166381RC""","""v1.9""",14191,   0.003,"""SCIENCE MISSION""",0,"""2012-07-29 01:58:33.698""","""2012-07-29 01:59:06.181""",52224,5064,16,  0.91,  0.97,0.938,1.17,52.03,50.92,89.29,166.79, -1.37, 54.24,-16.04,104.87,152101245.0,238.99,-16.04,104.93,-15.20,104.98,-16.87,105.04,-16.88,104.88,-15.20,104.82,  91.00,1828.27,D,-X
70,"""LROLRC_1014""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1014/DATA/ESM/2013022/NAC/M1113481369RC.IMG""","""M1113481369RC""","""v1.9""",16337,  -0.010,"""EXTENDED SCIENCE MISSION""",0,"""2013-01-22 08:08:22.02""","""2013-01-22 08:08:54.055""",52224,5064,16,  0.92,  0.95,0.935,1.17,52.51,51.39,93.74,167.65,  1.47, 54.71,-16.01,104.79,147476252.3, 65.21,-16.01,104.85,-16.83,104.90,-15.19,104.97,-15.18,104.81,-16.83,104.74,  92.01,1829.28,D,+X
71,"""LROLRC_1013""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1013/DATA/ESM/2012265/NAC/M1102845062LC.IMG""","""M1102845062LC""","""v1.9""",14846,  -0.011,"""EXTENDED SCIENCE MISSION""",0,"""2012-09-21 05:36:35.444""","""2012-09-21 05:37:02.108""",52224,5064,16,  1.40,  0.75,1.076,1.78,25.5,25.78,269.22,97.06, -1.32,113.01, 23.87,108.84,150054516.2,293.21, 23.88,108.98, 24.53,108.83, 23.22,108.88, 23.23,109.13, 24.53,109.09, 139.64,1877.05,A,+X
72,"""LROLRC_1020""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1020/DATA/ESM/2014243/NAC/M1164091147RC.IMG""","""M1164091147RC""","""v1.9""",23454,   0.071,"""EXTENDED SCIENCE MISSION""",0,"""2014-08-31 02:24:39.85""","""2014-08-31 02:25:10.095""",52224,5064,16,  1.30,  0.89,1.099,1.13,25.59,25.58,265.9,92.98, -1.09,111.67, 24.38,109.13,150838349.1,310.23, 24.37,109.04, 25.12,108.88, 23.61,108.96, 23.62,109.19, 25.13,109.12, 130.71,1868.12,A,+X
73,"""LROLRC_1015""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1015/DATA/ESM/2013102/NAC/M1120450137LC.IMG""","""M1120450137LC""","""v1.9""",17319,   0.012,"""EXTENDED SCIENCE MISSION""",0,"""2013-04-12 23:54:30.552""","""2013-04-12 23:54:57.215""",52224,5064,16,  1.32,  0.76,1.039,1.77,36.2,37.77,273.79,152.85,  0.64,152.75, 20.53,121.66,149653651.2,152.66, 20.53,121.79, 19.88,121.65, 21.19,121.70, 21.18,121.94, 19.87,121.88, 131.91,1869.39,A,-X
