NAC_ID,VOLUME_ID,URL,PRODUCT_ID,PRODUCT_VERSION_ID,ORBIT_NUMBER,SLEW_ANGLE,MISSION_PHASE_NAME,DATA_QUALITY_ID,START_TIME,STOP_TIME,IMAGE_LINES,LINE_SAMPLES,SAMPLE_BITS,SCALED_PIXEL_WIDTH,SCALED_PIXEL_HEIGHT,RESOLUTION,EMMISSION_ANGLE,INCIDENCE_ANGLE,PHASE_ANGLE,NORTH_AZIMUTH,SUB_SOLAR_AZIMUTH,SUB_SOLAR_LATITUDE,SUB_SOLAR_LONGITUDE,SUB_SPACECRAFT_LATITUDE,SUB_SPACECRAFT_LONGITUDE,SOLAR_DISTANCE,SOLAR_LONGITUDE,CENTER_LATITUDE,CENTER_LONGITUDE,UPPER_RIGHT_LATITUDE,UPPER_RIGHT_LONGITUDE,LOWER_RIGHT_LATITUDE,LOWER_RIGHT_LONGITUDE,LOWER_LEFT_LATITUDE,LOWER_LEFT_LONGITUDE,UPPER_LEFT_LATITUDE,UPPER_LEFT_LONGITUDE,SPACECRAFT_ALTITUDE,TARGET_CENTER_DISTANCE,ORBIT_NODE,LRO_FLIGHT_DIRECTION
11,"""LROLRC_1016""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1016/DATA/ESM/2013178/NAC/M1126986800RC.IMG""","""M1126986800RC""","""v1.9""",18238,  -0.003,"""EXTENDED SCIENCE MISSION""",0,"""2013-06-27 15:38:54.002""","""2013-06-27 15:39:46.181""",52224,2532,16,  1.45,  1.59,1.518,1.15,75.16,74.03,90.0,172.52, -1.22,308.99,-25.44, 23.06,152268131.3,234.41,-25.43, 23.11,-24.06, 23.14,-26.80, 23.22,-26.80, 23.09,-24.06, 23.00,  72.63,1809.88,D,-X
12,"""LROLRC_1020""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1020/DATA/ESM/2014168/NAC/M1157607615LC.IMG""","""M1157607615LC""","""v1.9""",22543,  -0.004,"""EXTENDED SCIENCE MISSION""",0,"""2014-06-17 01:25:48.735""","""2014-06-17 01:26:43.153""",52224,2532,16,  1.52,  1.65,1.583,1.72,75.25,76.95,85.44,172.42, -1.33,308.82,-25.01, 23.22,152186786.3,243.15,-25.01, 23.14,-23.59, 23.16,-26.44, 23.27,-26.44, 23.13,-23.59, 23.02,  75.91,1813.15,D,-X
13,"""LROLRC_1013""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1013/DATA/ESM/2012271/NAC/M1103380406RC.IMG""","""M1103380406RC""","""v1.9""",14921, -13.699,"""EXTENDED SCIENCE MISSION""",0,"""2012-09-27 10:18:59.174""","""2012-09-27 10:19:25.837""",52224,5064,16,  1.66,  0.74,1.199,16.16,46.68,45.94,260.22,109.29, -1.25, 37.50, 44.33, 27.46,150245072.7,306.70, 44.20, 25.57, 44.83, 25.32, 43.55, 25.43, 43.57, 25.81, 44.85, 25.71, 155.48,1892.90,A,+X
14,"""LROLRC_1030""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1030/DATA/ESM3/2017039/NAC/M1241157119RC.IMG""","""M1241157119RC""","""v1.9""",34382,   0.054,"""THIRD EXTENDED SCIENCE MISSION""",0,"""2017-02-08 01:37:32.025""","""2017-02-08 01:38:17.042""",52224,5064,16,  1.25,  1.29,1.27,1.19,45.51,45.14,273.25,115.61,  0.38, 40.62, 43.86, 25.65,147856437.0,166.55, 43.86, 25.54, 42.75, 25.30, 44.98, 25.49, 44.96, 25.79, 42.74, 25.58, 125.39,1862.83,A,-X
15,"""LROLRC_1013""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1013/DATA/ESM/2012270/NAC/M1103337772LC.IMG""","""M1103337772LC""","""v1.9""",14915,  -0.197,"""EXTENDED SCIENCE MISSION""",0,"""2012-09-26 22:28:24.966""","""2012-09-26 22:28:51.629""",52224,5064,16,  1.45,  0.75,1.099,1.8,35.81,36.48,269.51,103.74, -1.25, 43.50, 33.52, 34.20,150241933.9,305.62, 33.51, 34.37, 34.16, 34.20, 32.86, 34.25, 32.86, 34.53, 34.16, 34.49, 144.58,1882.00,A,+X
16,"""LROLRC_1024""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1024/DATA/ESM2/2015237/NAC/M1195185331RC.IMG""","""M1195185331RC""","""v1.9""",27845,  -0.011,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-08-25 23:41:04.195""","""2015-08-25 23:41:39.131""",44032,5064,16,  1.16,  1.19,1.176,1.18,36.44,36.27,265.82,104.09, -0.80, 44.51, 34.39, 34.44,151434188.0,329.64, 34.38, 34.35, 35.24, 34.17, 33.50, 34.30, 33.51, 34.52, 35.25, 34.41, 116.10,1853.52,A,+X
17,"""LROLRC_1013""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1013/DATA/ESM/2012268/NAC/M1103103209LC.IMG""","""M1103103209LC""","""v1.9""",14882,  -0.009,"""EXTENDED SCIENCE MISSION""",0,"""2012-09-24 05:19:02.445""","""2012-09-24 05:19:29.108""",52224,5064,16,  0.83,  0.80,0.814,1.72,24.61,25.1,270.64,255.86, -1.28, 76.57,-25.39, 71.34,150173651.9,299.32,-25.39, 71.43,-24.70, 71.32,-26.08, 71.38,-26.08, 71.53,-24.69, 71.47,  82.57,1819.98,D,+X
18,"""LROLRC_1024""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1024/DATA/ESM2/2015235/NAC/M1194961593RC.IMG""","""M1194961593RC""","""v1.9""",27813,  -0.009,"""SECOND EXTENDED SCIENCE MISSION""",0,"""2015-08-23 09:32:06.508""","""2015-08-23 09:32:26.503""",41984,5064,16,  0.70,  0.76,0.726,1.15,25.04,24.69,264.37,255.02, -0.86, 76.10,-25.50, 71.55,151332506.5,325.00,-25.51, 71.50,-24.99, 71.40,-26.03, 71.48,-26.03, 71.60,-24.98, 71.53,  69.81,1807.22,D,+X
19,"""LROLRC_1011""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1011/DATA/SCI/2012108/NAC/M189307291RC.IMG""","""M189307291RC""","""v1.9""",12951,   0.011,"""SCIENCE MISSION""",0,"""2012-04-17 13:07:04.205""","""2012-04-17 13:07:26.163""",43008,5064,16,  0.79,  0.81,0.797,1.17,41.75,40.86,268.94,222.82,  0.96,227.04,-29.82,197.51,149901913.2,141.14,-29.82,197.45,-30.39,197.37,-29.24,197.39,-29.25,197.54,-30.39,197.52,  79.05,1816.52,D,-X
20,"""LROLRC_1032""","""http://lroc.sese.asu.edu/data/LRO-L-LROC-3-CDR-V1.0/LROLRC_1032/DATA/ESM3/2017230/NAC/M1257667284RC.IMG""","""M1257667284RC""","""v1.9""",36729,  -0.010,"""THIRD EXTENDED SCIENCE MISSION""",0,"""2017-08-18 03:46:56.940""","""2017-08-18 03:47:17.103""",34816,5064,16,  0.83,  0.91,0.87,1.16,42.27,41.28,264.51,215.42,  0.06,228.88,-29.78,197.51,151187948.9,  2.53,-29.79,197.45,-29.27,197.34,-30.31,197.40,-30.30,197.56,-29.26,197.49,  83.61,1821.09,D,+X
