CRATER_ID,LAT,LON,PIXEL,SIZE
1.0,-44.8943359375,4.471848341232228,6.0,3.3000000000000003
2.0,-29.508589154411766,343.47443127962083,6.0,2.7
3.0,-9.11447265625,11.451595576619273,8.0,7.44
4.0,36.535906096813726,12.337128751974724,7.0,10.43
5.0,36.17303921568627,13.034751184834123,5.0,6.65
6.0,-25.411007199754902,23.082938388625593,4.0,5.8
7.0,43.9660294117647,25.608803317535546,6.0,9.959999999999999
8.0,33.85506357230392,34.25726698262243,8.0,11.6
9.0,-25.354009650735293,71.4088625592417,4.0,3.32
10.0,-29.72799060639881,197.41962085308054,4.0,3.16
11.0,20.719494485294117,335.65928909952606,14.0,18.900000000000002
12.0,-17.15607421875,339.6166469194313,37.0,31.08
13.0,-33.03108455882353,301.79,6.0,4.08
14.0,9.82394033394608,266.341836492891,5.0,6.1
15.0,19.705974264705883,30.5718009478673,5.0,8.149999999999999
16.0,-2.1640073529411765,82.40777251184834,10.0,11.0
17.0,28.40796338848039,90.53881516587677,4.0,5.64
18.0,44.31607843137255,96.57092812006319,5.0,8.0
19.0,31.449373372395833,335.22529225908374,6.0,8.22
20.0,33.578160998774514,336.4033293838862,3.0,4.11
21.0,34.45610983455882,336.45664691943125,5.0,6.8500000000000005
22.0,-20.70060661764706,302.4841785150079,7.0,5.109999999999999
23.0,28.599684053308824,76.00382306477093,4.0,5.76
24.0,28.100021829044117,76.78686413902054,5.0,6.75
25.0,29.246285615808823,90.54686413902054,4.0,5.44
26.0,-47.386996783088236,282.9005845181675,4.0,2.32
27.0,27.995234375,90.94402843601895,4.0,5.48
28.0,31.096968060661762,336.0674842022117,5.0,7.35
29.0,30.524662224264706,336.8529383886256,10.0,14.0
30.0,25.076952359068628,310.18278830963663,3.0,4.050000000000001
31.0,30.975921415441178,352.8747511848341,6.0,8.76
32.0,-46.04879192073171,101.2041785150079,8.0,4.4
33.0,-50.1521875,101.95319115323855,20.0,12.6
34.0,24.513223422181373,102.83218009478674,5.0,6.6000000000000005
35.0,-34.62755514705883,104.38293838862559,7.0,4.27
36.0,-15.569944852941175,104.83579778830963,7.0,6.37
37.0,24.30424172794118,109.00969984202212,4.0,5.6
38.0,20.88271790747549,121.77109004739337,3.0,3.96
39.0,20.78238089767157,121.8303317535545,5.0,6.6000000000000005
40.0,18.147674632352942,131.69886255924172,6.0,3.54
41.0,23.713052455357143,153.23449842022117,4.0,5.44
42.0,19.364990234375,156.80219194312795,6.0,7.92
43.0,17.90669921875,157.2929146919431,4.0,5.04
44.0,11.577266390931372,165.4183570300158,7.0,8.33
45.0,-3.2532582720588232,176.27357030015799,6.0,6.12
46.0,11.356433502906976,197.46377567140598,6.0,7.86
47.0,29.91800330528846,201.53205371248026,4.0,5.88
48.0,33.53664828431373,204.76486571879937,5.0,7.5
49.0,26.949877068014704,208.1518009478673,11.0,16.830000000000002
50.0,23.10274701286765,210.03331753554502,7.0,10.36
51.0,-26.875412071078433,106.32145734597157,4.0,3.12
52.0,34.611575520833334,246.25590047393365,5.0,7.0
53.0,41.14965456495098,249.8244075829384,8.0,13.04
54.0,42.59914560355392,257.75266192733017,10.0,16.4
55.0,26.025806525735295,270.34,6.0,8.040000000000001
56.0,-31.886080729166668,279.97455766192735,6.0,4.26
57.0,24.835303332270406,330.5443838862559,7.0,8.75
58.0,17.16950439453125,341.1576105845182,5.0,6.4
59.0,16.99006103515625,341.0667733017377,3.0,3.84
60.0,17.834393382352943,342.1984834123223,4.0,4.68
61.0,-24.880174249387256,293.2677606635071,5.0,3.5999999999999996
62.0,-25.48502068014706,293.30626777251183,4.0,2.88
63.0,22.118926164215686,296.9525829383886,8.0,9.76
64.0,-4.148620174632353,342.4071406003159,5.0,4.9
65.0,-6.8962886795343135,343.313672985782,5.0,4.5
66.0,18.98572150735294,343.6729383886256,3.0,3.99
67.0,18.943319546568627,344.5951421800948,4.0,4.72
68.0,18.287538679534315,344.47073459715637,4.0,4.72
69.0,-34.104383042279416,319.6029383886256,5.0,3.5
70.0,10.712359834558823,263.6139257503949,5.0,4.9
71.0,10.600684742647058,164.74258293838864,3.0,3.84
72.0,-9.852822265625,169.41910347551342,4.0,4.04
73.0,-42.0908455882353,205.1541785150079,4.0,2.28
74.0,-34.27729204963236,319.76749605055295,5.0,3.5
75.0,-27.660173100490198,320.22343206951024,5.0,3.3000000000000003
76.0,-16.112763480392157,320.4966587677725,6.0,2.34
77.0,-6.593172104779412,324.59319115323854,5.0,4.75
78.0,43.587279411764705,141.52537124802527,6.0,8.399999999999999
79.0,2.2862645526960783,142.51131911532386,5.0,5.6000000000000005
80.0,-16.562849264705882,144.96579778830963,12.0,10.92
81.0,-41.8192578125,148.08317930489733,4.0,2.16
82.0,23.380625000000002,153.3929383886256,6.0,7.800000000000001
83.0,24.730535714285715,154.3844075829384,6.0,9.06
84.0,-37.523283547794115,111.57552132701421,6.0,3.66
85.0,45.896263814786586,163.8825355450237,3.0,4.7700000000000005
86.0,-34.52647288602941,165.45776066350712,3.0,1.92
87.0,-9.662657581676136,169.61218009478674,3.0,3.0300000000000002
88.0,29.807951899509803,183.34043443917852,4.0,6.04
89.0,-48.5621875,183.3166469194313,6.0,3.66
90.0,33.26302619485294,204.893672985782,6.0,9.120000000000001
91.0,-42.47006740196078,204.74492496050553,6.0,3.66
92.0,-35.678172487745094,206.9447867298578,11.0,6.489999999999999
93.0,-37.775027573529414,207.17258293838862,3.0,1.7399999999999998
94.0,17.618961014093138,211.16860979462876,3.0,3.75
95.0,-39.06377068014706,216.08701421800947,4.0,2.56
